id;subject;description;notification_date
1;Rustic Throughway;1080p;2022-12-15
2;USB;purple program next-generation;2022-12-15
3;Executive;reboot payment;2022-12-15
4;Yen web-readiness;invoice Practical Specialist;2022-12-15
5;solutions;Intelligent;2022-12-15
6;withdrawal generation Fresh;Investment Terrace;2022-12-15
7;deposit Berkshire;client-server multi-byte Specialist;2022-12-15
8;Berkshire Bacon Chair;Associate;2022-12-15
9;navigate Engineer;Skyway bluetooth;2022-12-15
10;Checking Jamahiriya;back-end;2022-12-16
